16:45:01.321 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
16:45:02.060 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\lujiaxin\nacos\config
16:45:02.065 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of fea9a513-c09a-46de-9240-8977959197c5_config-0
16:45:02.122 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 34 ms to scan 1 urls, producing 3 keys and 6 values 
16:45:02.152 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 4 keys and 9 values 
16:45:02.169 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 3 keys and 10 values 
16:45:02.378 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 205 ms to scan 239 urls, producing 0 keys and 0 values 
16:45:02.388 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
16:45:02.398 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 7 values 
16:45:02.409 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
16:45:02.540 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 129 ms to scan 239 urls, producing 0 keys and 0 values 
16:45:02.542 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
16:45:02.543 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$331/659059448
16:45:02.543 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$332/124494140
16:45:02.544 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
16:45:02.545 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
16:45:02.552 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
16:45:05.457 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
16:45:07.491 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
16:45:09.529 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] try to re connect to a new server ,server is  not appointed,will choose a random server.
16:45:09.529 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
16:45:09.530 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0]Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$4
16:45:09.664 [main] INFO  c.a.n.c.c.i.Limiter - [<clinit>,56] - limitTime:5.0
16:45:10.001 [main] INFO  c.a.n.c.c.u.JvmUtil - [<clinit>,53] - isMultiInstance:false
16:45:11.008 [main] INFO  c.r.s.RuoYiSystemApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
16:45:13.467 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9201"]
16:45:13.468 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
16:45:13.468 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.60]
16:45:13.709 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
16:45:13.759 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] fail to connect server,after trying 1 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
16:45:14.925 [main] INFO  c.a.d.p.DruidDataSource - [init,998] - {dataSource-1,master} inited
16:45:14.927 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,148] - dynamic-datasource - add a datasource named [master] success
16:45:14.927 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,228] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
16:45:16.014 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] fail to connect server,after trying 2 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
16:45:18.352 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [fea9a513-c09a-46de-9240-8977959197c5_config-0] fail to connect server,after trying 3 times, last try server is {serverIp='127.0.0.1', server main port=8848},error=unknown
16:45:18.575 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,205] - dynamic-datasource start closing ....
16:45:18.579 [main] INFO  c.a.d.p.DruidDataSource - [close,2071] - {dataSource-1} closing ...
16:45:18.585 [main] INFO  c.a.d.p.DruidDataSource - [close,2144] - {dataSource-1} closed
16:45:18.585 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [destroy,209] - dynamic-datasource all closed success,bye
16:45:18.587 [main] INFO  o.a.c.c.StandardService - [log,173] - Stopping service [Tomcat]
16:49:05.423 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
16:49:06.097 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\lujiaxin\nacos\config
16:49:06.100 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of 72e5526a-0197-4d0f-a939-cafd72aecb53_config-0
16:49:06.148 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 33 ms to scan 1 urls, producing 3 keys and 6 values 
16:49:06.172 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 4 keys and 9 values 
16:49:06.186 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 3 keys and 10 values 
16:49:06.373 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 184 ms to scan 239 urls, producing 0 keys and 0 values 
16:49:06.391 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 5 values 
16:49:06.401 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 1 keys and 7 values 
16:49:06.412 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 9 ms to scan 1 urls, producing 2 keys and 8 values 
16:49:06.546 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 132 ms to scan 239 urls, producing 0 keys and 0 values 
16:49:06.548 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [72e5526a-0197-4d0f-a939-cafd72aecb53_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
16:49:06.548 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [72e5526a-0197-4d0f-a939-cafd72aecb53_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$331/73698537
