09:55:54.294 [main] INFO  c.a.n.c.c.i.LocalConfigInfoProcessor - [<clinit>,67] - LOCAL_SNAPSHOT_PATH:C:\Users\lujiaxin\nacos\config
09:55:54.301 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,77] - [RpcClientFactory] create a new rpc client of a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0
09:55:54.376 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 47 ms to scan 1 urls, producing 3 keys and 6 values 
09:55:54.413 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 4 keys and 9 values 
09:55:54.426 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 3 keys and 10 values 
09:55:54.583 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 154 ms to scan 146 urls, producing 0 keys and 0 values 
09:55:54.598 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 1 keys and 5 values 
09:55:54.611 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
09:55:54.623 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
09:55:54.730 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 104 ms to scan 146 urls, producing 0 keys and 0 values 
09:55:54.768 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0]RpcClient init label, labels={module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
09:55:54.771 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$320/1118430673
09:55:54.772 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0]Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$321/1527254842
09:55:54.775 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0]Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
09:55:54.779 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0]RpcClient init, ServerListFactory =com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
09:55:54.816 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [a97191ce-db0a-427c-a6ed-30eee3fd9b2c_config-0] Try to connect to server on start up, server: {serverIp='127.0.0.1', server main port=8848}
